destiny,delta_fuel_cost_brl,delta_co2e_kg
"Acrelândia, AC",-12349.632553664593,-3620.0995958402164
"Assis Brasil, AC",-10742.2413836646,-3620.099595840218
"Bujari, AC",-10742.240774664595,-3620.0993278402175
"Capixaba, AC",-10742.240774664597,-3620.0993278402184
"Cruzeiro do Sul, AC",-10742.240774664595,-3620.0993278402184
"Epitaciolândia, AC",-10742.241383664594,-3620.099595840218
"Feijó, AC",-10742.241383664594,-3620.099595840218
"Jordão, AC",941.4356311279773,676.2353871369671
"Manoel Urbano, AC",-10742.240774664591,-3620.0993278402175
"Mâncio Lima, AC",-10742.240774664597,-3620.0993278402193
"Plácido de Castro, AC",-10742.240774664597,-3620.0993278402184
"Porto Acre, AC",-12349.631867664595,-3620.0993278402175
"Rio Branco, AC",-10742.240774664593,-3620.0993278402184
"Rodrigues Alves, AC",-10742.241383664597,-3620.099595840218
"Sena Madureira, AC",-10742.240774664593,-3620.0993278402175
"Senador Guiomard, AC",-10742.240774664597,-3620.0993278402184
"Tarauacá, AC",-10742.240774664595,-3620.0993278402184
"Xapuri, AC",-10742.240774664593,-3620.0993278402175
"Anadia, AL",-11610.446248139324,-4413.760664489585
"Arapiraca, AL",-11102.227576139325,-4185.997112489586
"Atalaia, AL",-12212.154446139324,-4683.422532489585
"Barra de Santo Antônio, AL",-12573.680130139324,-4845.444076489584
"Barra de São Miguel, AL",-12223.271266139325,-4688.404652489585
"Batalha, AL",-11001.013086139323,-4140.636772489585
"Belo Monte, AL",-10487.623508139324,-3910.555824489584
"Belém, AL",-11498.869016139322,-4363.756152489585
"Branquinha, AL",-12393.554756139321,-4764.718992489585
"Cacimbinhas, AL",-11144.848830139326,-4205.098276489585
"Campestre, AL",-12126.854747071986,-4620.426493207746
"Campo Alegre, AL",-11529.146354139324,-4377.325260489585
"Campo Grande, AL",-10696.458264139324,-4004.147320489585
"Canapi, AL",-10301.906834139325,-3827.324940489586
